,BAD_1_1,BAD_14_2,BAD_18_1,BAD_3_1,BAD_8_1,FOUM_14_2,FOUM_17_2,FOUM_3_1,FOUM_7_2,FOUM_8_2,HS_16_2,HS_18_2,HS_3_1,HS_7_1,HS_FA_2_2,IR_10_2,IR_13_1,IR_17_1,IR_4_2,IR_7_1,NI_13_2,NI_16_2,NI_19_1,NI_3_1,NI_7_2,TE_1_10_1_2,TE_11_20_1_2,TE_21_30_1_1,TE_6_43_1,TE_FA_1_1
3e2d0c500700da46c435f5517be95b3c78556580,390,2617,3285,3877,4506,212,258,672,941,1081,2281,1063,2677,298,91,116,0,810,0,124,339,1983,335,121,234,1686,2010,1169,1140,886
dc2da102033dbd9f083e168e637d1a2b8d5646db,0,0,40,0,212,0,0,0,0,0,1416,1406,6006,159,83,180,176,1132,0,0,215,5865,190,335,102,783,1170,414,285,1873
1d016e7acea393399895bc74951536794e83f59d,0,906,139,125,3527,0,50,0,207,177,1185,665,3857,0,0,0,73,628,0,0,220,1814,0,0,0,746,1000,485,1421,1195
f86f6b07d505cf6f84bfbb268d7bc034151531c2,0,227,116,208,232,238,629,144,235,315,469,344,1294,708,0,301,300,1041,148,190,344,1032,1520,802,886,808,460,1885,1237,988
80acf5028ed61880c52edadee1cc0c122067a80b,186,937,1387,1403,2021,97,121,293,361,484,1026,438,1084,144,0,0,0,336,0,0,253,675,0,0,99,776,682,561,501,312
74454b348c69f3746202ba306079ef67d8c8f1f0,318,154,285,146,145,553,262,230,258,476,459,341,523,1176,911,707,905,574,389,1603,417,290,510,711,190,216,105,363,487,250
09a07dd82d7c8905aa12c9f7b555f95f844541cd,73,334,1773,530,333,631,26,508,256,123,1137,1481,362,887,121,258,429,616,402,222,466,0,0,528,103,222,402,97,818,309
21fb8476b6556c899ce020fdc1a8ada026df9901,0,246,227,214,361,652,377,609,205,336,333,0,816,304,0,226,0,597,0,101,0,1104,1450,550,538,625,249,665,1428,595
6928b7a24c808a20492b78c9e3b7e871e8b704a8,0,68,168,0,129,332,147,243,0,370,497,352,333,719,618,1322,1044,458,926,1480,296,360,359,624,138,0,0,0,431,245
729caf587239e66b0da68453d42d7b9db8ff188a,302,258,157,239,294,494,286,236,276,465,461,163,401,728,183,657,868,573,446,695,0,261,699,1491,0,0,0,0,495,0
f45086802eeaf57eda2dff923e76be11a6241fc2,0,0,127,0,0,355,0,293,0,196,1002,311,695,979,0,509,308,426,321,351,0,555,612,1510,265,0,0,383,1708,113
917ac8f192ba5459704840ff433fe2793fca4007,0,0,0,0,0,0,25,0,0,0,2709,1805,1662,208,0,0,168,845,41,193,283,1651,0,432,0,318,0,0,138,419
356d4906cbd20438256344b0fb01bce9d82dc8f5,179,1746,0,591,1074,0,189,43,57,207,0,0,56,77,72,37,0,134,0,0,398,0,0,0,38,2534,1068,177,196,2000
df2aaebef572ed3a3268b950c3a2eb7bfdc1d403,0,194,0,66,231,89,1156,95,192,572,0,0,427,0,0,0,0,0,0,0,0,273,347,0,1048,747,767,2245,301,712
11881d9d6662f597811bc45ac9bcb86aa62c6971,0,0,902,0,0,0,0,0,0,0,805,353,174,630,0,142,3158,355,986,335,112,0,0,230,0,0,0,0,234,0
44bbd747fc8f02b247c7cb368756c27373ecc836,0,0,0,0,77,0,0,0,0,0,528,567,2294,50,0,0,60,445,0,0,114,1893,0,120,0,303,423,166,132,752
72b11b8701008955ae11f6d91eab7ed8dfdd9b08,0,0,108,77,129,0,239,0,0,149,268,0,618,369,0,171,118,520,0,89,180,356,627,344,437,473,174,871,500,493
12507eb5222dc3a8be42e595dc03c8f5160e5192,0,762,192,234,1126,75,0,105,178,98,284,324,897,0,0,0,296,373,0,0,67,834,0,74,0,136,450,78,91,368
7020ddd51c9dc0010bcd394271c69eefd94d8468,0,60,0,159,49,46,311,34,21,36,358,229,476,165,0,51,0,217,0,0,0,297,0,109,1516,292,252,1060,139,411
66d89c4e3ad337de0eee984907c6d169c907e72c,48,249,54,227,240,36,148,0,147,205,166,431,371,226,167,243,130,161,101,278,257,324,125,467,89,227,382,273,261,238
08679baf8c3cb35f5a8dc8965a202798972493a0,404,172,0,0,0,702,729,3984,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba4b1808a2dd0cd2ac65d1aa97cca5e8cb52ba45,24,149,775,210,131,277,0,230,0,0,556,716,173,504,0,0,212,384,156,138,224,0,0,273,0,79,150,42,521,160
9010de17433678278d22031c8574162481ea77e3,0,0,0,0,0,0,0,0,0,0,325,159,84,638,98,925,699,201,597,720,151,95,105,631,0,0,0,0,469,0
ebca354de9844b4d700bdff934a5ddf290606e1f,0,0,0,0,0,0,0,0,0,0,464,440,407,840,0,345,282,311,326,285,175,408,347,541,81,0,0,0,643,0
32ab2775a90c30601f5cafc2609fea9cc6cb6e15,0,0,114,0,0,0,0,0,0,0,1336,1153,250,852,0,196,0,557,0,83,222,0,0,176,0,0,0,0,742,126
e1972b9997fb72afe0dc5f2d4c54d3a353f3a784,46,54,42,0,0,70,129,0,0,0,158,226,204,285,784,652,360,248,566,503,130,158,201,286,69,0,135,65,213,115
f00ed5d5652f69762bbd54f252e7a7e22cf3022c,141,148,93,100,170,242,217,182,239,604,187,122,282,235,0,83,124,270,0,96,135,386,449,166,96,221,0,150,211,119
e37191f7b8c28600eec0a7daeae36031813ddf43,0,0,4895,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,234,0,0,0,0,0,0,0,0,0,0,0
feed75e9ee68f7500d3918f136abc6f36e273bd1,255,582,0,736,141,0,155,0,0,97,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,569,1906,287,0,547
c45d24a69e9ca100e42215f0e4470a9835707f7b,259,552,0,833,125,0,132,0,70,90,0,0,28,0,0,0,0,0,0,0,0,0,0,0,155,698,1569,296,0,448
ee82886e0dc4ff99f059f4eef83653e8943262ec,0,0,0,0,0,38,0,71,0,8,574,74,0,605,57,336,564,107,346,1035,96,0,0,956,0,0,0,0,148,0
be7ad3478ecbfa69680bfef3272c6b7f97e65a91,320,174,263,246,129,286,109,289,769,642,192,101,144,174,0,57,74,145,0,0,35,85,132,119,53,117,0,0,187,105
11f189d181cd5d17a0367f809f9559f9c82c59c0,0,0,0,0,0,143,0,107,0,197,264,0,156,361,322,608,413,247,455,817,146,127,127,220,0,0,0,0,226,0
