,NI_16_2,HS_16_2,IR_13_1,HS_FA_2_2,BAD_14_2,BAD_8_1,NI_13_2,BAD_1_1,FOUM_17_2,TE_1_10_1_2,IR_4_2,NI_3_1,HS_7_1,IR_7_1,FOUM_8_2,NI_7_2,HS_3_1,BAD_3_1,BAD_18_1,IR_10_2,TE_21_30_1_1,NI_19_1,TE_FA_1_1,FOUM_14_2,FOUM_7_2,TE_11_20_1_2,HS_18_2,IR_17_1,TE_6_43_1,FOUM_3_1
MG829384,0,0,14,8,0,0,381,0,0,0,0,0,0,36,0,0,0,0,0,0,0,7,0,0,0,0,5,116,0,0
EU417619,0,0,0,0,0,38,1,0,0,0,0,1,13,39,0,1,1,0,14,1,1,1,0,0,0,0,10,0,141,140
AB555658,29,2,2,6,23,4,0,0,0,1,1,4,27,6,0,1,9,0,0,0,0,1,0,0,0,9,10,0,103,0
MG829459,4,0,0,5,6,5,0,0,0,0,11,0,0,19,0,0,0,0,9,0,0,1,0,47,0,0,1,0,1,42
FJ009670,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AB555670,37,0,0,0,7,13,0,0,0,0,0,2,0,2,0,0,0,0,0,1,3,3,0,0,0,0,3,26,16,0
KR002150,0,0,56,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
MG829397,26,0,0,0,23,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU417648,0,0,0,0,0,0,6,0,0,4,0,1,5,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,8,0
EF024018,1,4,1,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,2,0,0,0,2,3,0,3,0
KJ952237,0,0,0,0,6,1,0,0,0,2,0,0,0,4,0,2,0,0,2,0,0,0,4,0,0,0,1,1,0,0
EU417636,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,1,0,7,0,0,3,0,1,0,0,0,0,0,0,0
EU417646,1,2,1,3,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,4,0
GQ376067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,2
MG829296,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0
MG829298,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG829398,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MG829391,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0
MG829486,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
MG829463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
AJ871270,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
MG829594,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AM418543,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
KC708357,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AB556923,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AB594907,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AB594850,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MG829366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
DQ322629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HE863886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FR750204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
