"","categorie","estimate","value"
"1","[1-10]","amf_richness",54
"2","[1-10]","amf_shannon",18.6365881106962
"3","[1-10]","amf_simpson",13.8724801878668
"4","[1-10]","bacterial_richness",956
"5","[1-10]","bacterial_shannon",489.857250448264
"6","[1-10]","bacterial_simpson",173.536619719779
"7","[11-20]","amf_richness",52
"8","[11-20]","amf_shannon",5.79069494554564
"9","[11-20]","amf_simpson",2.86647439759372
"10","[11-20]","bacterial_richness",619
"11","[11-20]","bacterial_shannon",296.826863819053
"12","[11-20]","bacterial_simpson",111.028630947176
"13","[21-30]","amf_richness",43
"14","[21-30]","amf_shannon",6.68729843463716
"15","[21-30]","amf_simpson",3.09592863269602
"16","[21-30]","bacterial_richness",762
"17","[21-30]","bacterial_shannon",309.360471751079
"18","[21-30]","bacterial_simpson",72.3559161705784
"19","OGF","amf_richness",45
"20","OGF","amf_shannon",14.7248210299499
"21","OGF","amf_simpson",8.17769635894881
"22","OGF","bacterial_richness",643
"23","OGF","bacterial_shannon",298.402998758954
"24","OGF","bacterial_simpson",86.6429408667406
"25","[30 <[","amf_richness",67
"26","[30 <[","amf_shannon",27.3229787912172
"27","[30 <[","amf_simpson",19.5028166646625
"28","[30 <[","bacterial_richness",721
"29","[30 <[","bacterial_shannon",286.301778396696
"30","[30 <[","bacterial_simpson",67.869624289171
"31","[21-30]","amf_richness",86
"32","[21-30]","amf_shannon",30.8717982323758
"33","[21-30]","amf_simpson",19.4852507878917
"34","[21-30]","bacterial_richness",787
"35","[21-30]","bacterial_shannon",454.525697337481
"36","[21-30]","bacterial_simpson",245.022660507544
"37","OGF","amf_richness",79
"38","OGF","amf_shannon",13.0687081354811
"39","OGF","amf_simpson",5.42691629960342
"40","OGF","bacterial_richness",1000
"41","OGF","bacterial_shannon",640.561978115438
"42","OGF","bacterial_simpson",397.526285266782
"43","[11-20]","amf_richness",11
"44","[11-20]","amf_shannon",2.93833829455523
"45","[11-20]","amf_simpson",2.20632738231848
"46","[11-20]","bacterial_richness",782
"47","[11-20]","bacterial_shannon",400.836454216038
"48","[11-20]","bacterial_simpson",130.542039911335
"49","[1-10]","amf_richness",5
"50","[1-10]","amf_shannon",2.17637640824031
"51","[1-10]","amf_simpson",1.53846153846154
"52","[1-10]","bacterial_richness",748
"53","[1-10]","bacterial_shannon",498.662180399944
"54","[1-10]","bacterial_simpson",329.73242120035
"55","[30 <[","amf_richness",65
"56","[30 <[","amf_shannon",14.2699244758027
"57","[30 <[","amf_simpson",7.03980012814809
"58","[30 <[","bacterial_richness",1050
"59","[30 <[","bacterial_shannon",668.445833459545
"60","[30 <[","bacterial_simpson",426.58931257046
"61","[30 <[","amf_richness",49
"62","[30 <[","amf_shannon",11.1105332266742
"63","[30 <[","amf_simpson",7.26388658241762
"64","[30 <[","bacterial_richness",811
"65","[30 <[","bacterial_shannon",361.99643709913
"66","[30 <[","bacterial_simpson",131.569794381876
"67","[21-30]","amf_richness",40
"68","[21-30]","amf_shannon",9.63478969634214
"69","[21-30]","amf_simpson",6.69331501067342
"70","[21-30]","bacterial_richness",497
"71","[21-30]","bacterial_shannon",234.238685122783
"72","[21-30]","bacterial_simpson",99.2327276721476
"73","OGF","amf_richness",39
"74","OGF","amf_shannon",6.92551359955476
"75","OGF","amf_simpson",4.41394101904757
"76","OGF","bacterial_richness",675
"77","OGF","bacterial_shannon",200.211128802264
"78","OGF","bacterial_simpson",49.7560104030988
"79","[11-20]","amf_richness",54
"80","[11-20]","amf_shannon",5.34818123937765
"81","[11-20]","amf_simpson",2.6856051861442
"82","[11-20]","bacterial_richness",772
"83","[11-20]","bacterial_shannon",425.420311308765
"84","[11-20]","bacterial_simpson",218.039826092062
"85","OGF","amf_richness",21
"86","OGF","amf_shannon",5.57717935336901
"87","OGF","amf_simpson",5.03733107005288
"88","OGF","bacterial_richness",887
"89","OGF","bacterial_shannon",466.074714778164
"90","OGF","bacterial_simpson",163.98040574143
"91","OGF","amf_richness",64
"92","OGF","amf_shannon",20.5218008210294
"93","OGF","amf_simpson",14.1217855749419
"94","OGF","bacterial_richness",605
"95","OGF","bacterial_shannon",353.670375791711
"96","OGF","bacterial_simpson",196.392178979117
"97","[21-30]","amf_richness",34
"98","[21-30]","amf_shannon",12.2428028057511
"99","[21-30]","amf_simpson",8.03919026193375
"100","[21-30]","bacterial_richness",686
"101","[21-30]","bacterial_shannon",321.308544269908
"102","[21-30]","bacterial_simpson",122.375523892166
"103","[30 <[","amf_richness",57
